"state","year","race","rate","cancer"
"Rhode Island",2021,"White",16.7,"breast"
"Rhode Island",2021,"Black",NA,"breast"
"Rhode Island",2021,"Hispanic",NA,"breast"
"Rhode Island",2021,"American_Indian_AlaskaNative",NA,"breast"
"Rhode Island",2021,"Asian",NA,"breast"
"Rhode Island",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Rhode Island",2021,"Multiple_Races",NA,"breast"
"Rhode Island",2021,"Overall",15.6,"breast"
"South Carolina",2021,"White",19.6,"breast"
"South Carolina",2021,"Black",21.7,"breast"
"South Carolina",2021,"Hispanic",NA,"breast"
"South Carolina",2021,"American_Indian_AlaskaNative",NA,"breast"
"South Carolina",2021,"Asian",NA,"breast"
"South Carolina",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"South Carolina",2021,"Multiple_Races",NA,"breast"
"South Carolina",2021,"Overall",19.8,"breast"
"South Dakota",2021,"White",16.4,"breast"
"South Dakota",2021,"Black",NA,"breast"
"South Dakota",2021,"Hispanic",NA,"breast"
"South Dakota",2021,"American_Indian_AlaskaNative",NA,"breast"
"South Dakota",2021,"Asian",NA,"breast"
"South Dakota",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"South Dakota",2021,"Multiple_Races",NA,"breast"
"South Dakota",2021,"Overall",16.6,"breast"
"Tennessee",2021,"White",20.5,"breast"
"Tennessee",2021,"Black",28.2,"breast"
"Tennessee",2021,"Hispanic",NA,"breast"
"Tennessee",2021,"American_Indian_AlaskaNative",NA,"breast"
"Tennessee",2021,"Asian",NA,"breast"
"Tennessee",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Tennessee",2021,"Multiple_Races",NA,"breast"
"Tennessee",2021,"Overall",21.4,"breast"
"Texas",2021,"White",21.3,"breast"
"Texas",2021,"Black",28.5,"breast"
"Texas",2021,"Hispanic",14.7,"breast"
"Texas",2021,"American_Indian_AlaskaNative",NA,"breast"
"Texas",2021,"Asian",10.3,"breast"
"Texas",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Texas",2021,"Multiple_Races",NA,"breast"
"Texas",2021,"Overall",19.9,"breast"
"Utah",2021,"White",20.1,"breast"
"Utah",2021,"Black",NA,"breast"
"Utah",2021,"Hispanic",19.8,"breast"
"Utah",2021,"American_Indian_AlaskaNative",NA,"breast"
"Utah",2021,"Asian",NA,"breast"
"Utah",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Utah",2021,"Multiple_Races",NA,"breast"
"Utah",2021,"Overall",20.3,"breast"
"Vermont",2021,"White",17,"breast"
"Vermont",2021,"Black",NA,"breast"
"Vermont",2021,"Hispanic",NA,"breast"
"Vermont",2021,"American_Indian_AlaskaNative",NA,"breast"
"Vermont",2021,"Asian",NA,"breast"
"Vermont",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Vermont",2021,"Multiple_Races",NA,"breast"
"Vermont",2021,"Overall",17.1,"breast"
"Virginia",2021,"White",20.7,"breast"
"Virginia",2021,"Black",27.8,"breast"
"Virginia",2021,"Hispanic",15.5,"breast"
"Virginia",2021,"American_Indian_AlaskaNative",NA,"breast"
"Virginia",2021,"Asian",11.7,"breast"
"Virginia",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Virginia",2021,"Multiple_Races",NA,"breast"
"Virginia",2021,"Overall",21.2,"breast"
"Washington",2021,"White",20.5,"breast"
"Washington",2021,"Black",19,"breast"
"Washington",2021,"Hispanic",13.8,"breast"
"Washington",2021,"American_Indian_AlaskaNative",NA,"breast"
