"state","year","race","rate","disease"
"Minnesota",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Minnesota",2020,"Multiple.races",213.9,"chlamydia"
"Minnesota",2020,"Overall",387.5,"chlamydia"
"Mississippi",2020,"White",169.2,"chlamydia"
"Mississippi",2020,"Black",NA,"chlamydia"
"Mississippi",2020,"Hispanic",66.6,"chlamydia"
"Mississippi",2020,"AmericanIndian_AlaskaNative",744.4,"chlamydia"
"Mississippi",2020,"Asian",34.3,"chlamydia"
"Mississippi",2020,"Native.Hawaiian.or.Pacific.Islander",450,"chlamydia"
"Mississippi",2020,"Multiple.races",255,"chlamydia"
"Mississippi",2020,"Overall",808.9,"chlamydia"
"Missouri",2020,"White",264.4,"chlamydia"
"Missouri",2020,"Black",NA,"chlamydia"
"Missouri",2020,"Hispanic",439.1,"chlamydia"
"Missouri",2020,"AmericanIndian_AlaskaNative",160.7,"chlamydia"
"Missouri",2020,"Asian",133.2,"chlamydia"
"Missouri",2020,"Native.Hawaiian.or.Pacific.Islander",539.4,"chlamydia"
"Missouri",2020,"Multiple.races",463.6,"chlamydia"
"Missouri",2020,"Overall",516.9,"chlamydia"
"Montana",2020,"White",300.4,"chlamydia"
"Montana",2020,"Black",NA,"chlamydia"
"Montana",2020,"Hispanic",401.5,"chlamydia"
"Montana",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"Montana",2020,"Asian",146.8,"chlamydia"
"Montana",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Montana",2020,"Multiple.races",552.8,"chlamydia"
"Montana",2020,"Overall",380.5,"chlamydia"
"Nebraska",2020,"White",247,"chlamydia"
"Nebraska",2020,"Black",NA,"chlamydia"
"Nebraska",2020,"Hispanic",508.1,"chlamydia"
"Nebraska",2020,"AmericanIndian_AlaskaNative",942,"chlamydia"
"Nebraska",2020,"Asian",175.9,"chlamydia"
"Nebraska",2020,"Native.Hawaiian.or.Pacific.Islander",467.3,"chlamydia"
"Nebraska",2020,"Multiple.races",431.2,"chlamydia"
"Nebraska",2020,"Overall",450.9,"chlamydia"
"Nevada",2020,"White",179.2,"chlamydia"
"Nevada",2020,"Black",710.4,"chlamydia"
"Nevada",2020,"Hispanic",253,"chlamydia"
"Nevada",2020,"AmericanIndian_AlaskaNative",285.3,"chlamydia"
"Nevada",2020,"Asian",105.6,"chlamydia"
"Nevada",2020,"Native.Hawaiian.or.Pacific.Islander",76.1,"chlamydia"
"Nevada",2020,"Multiple.races",115.7,"chlamydia"
"Nevada",2020,"Overall",473.3,"chlamydia"
"New Hampshire",2020,"White",131.8,"chlamydia"
"New Hampshire",2020,"Black",571.4,"chlamydia"
"New Hampshire",2020,"Hispanic",312.1,"chlamydia"
"New Hampshire",2020,"AmericanIndian_AlaskaNative",206.6,"chlamydia"
"New Hampshire",2020,"Asian",65.3,"chlamydia"
"New Hampshire",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"New Hampshire",2020,"Multiple.races",0,"chlamydia"
"New Hampshire",2020,"Overall",212.7,"chlamydia"
"New Jersey",2020,"White",92.3,"chlamydia"
"New Jersey",2020,"Black",779.1,"chlamydia"
"New Jersey",2020,"Hispanic",292.7,"chlamydia"
"New Jersey",2020,"AmericanIndian_AlaskaNative",0,"chlamydia"
"New Jersey",2020,"Asian",45.4,"chlamydia"
"New Jersey",2020,"Native.Hawaiian.or.Pacific.Islander",0,"chlamydia"
"New Jersey",2020,"Multiple.races",0,"chlamydia"
"New Jersey",2020,"Overall",341.1,"chlamydia"
"New Mexico",2020,"White",234.3,"chlamydia"
"New Mexico",2020,"Black",891.6,"chlamydia"
"New Mexico",2020,"Hispanic",426.7,"chlamydia"
"New Mexico",2020,"AmericanIndian_AlaskaNative",626.4,"chlamydia"
"New Mexico",2020,"Asian",147.1,"chlamydia"
"New Mexico",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"New Mexico",2020,"Multiple.races",60,"chlamydia"
"New Mexico",2020,"Overall",570.7,"chlamydia"
"New York",2020,"White",147,"chlamydia"
"New York",2020,"Black",922.9,"chlamydia"
"New York",2020,"Hispanic",362,"chlamydia"
"New York",2020,"AmericanIndian_AlaskaNative",308.5,"chlamydia"
"New York",2020,"Asian",99.5,"chlamydia"
"New York",2020,"Native.Hawaiian.or.Pacific.Islander",599.5,"chlamydia"
"New York",2020,"Multiple.races",537.8,"chlamydia"
